,wine_name,vintage,winery_name,wine_style,wine_type,natural_wine,ratings_average,ratings_count,taste_acidity,taste_fizziness,taste_intensity,taste_sweetness,taste_tannin,flavor_score_black_fruit,flavor_score_citrus_fruit,flavor_score_dried_fruit,flavor_score_earth,flavor_score_floral,flavor_score_microbio,flavor_score_non_oak,flavor_score_oak,flavor_score_red_fruit,flavor_score_spices,flavor_score_tree_fruit,flavor_score_tropical_fruit,flavor_score_vegetal,grape_Cabernet Franc,grape_Cabernet Sauvignon,grape_Carménère,grape_Chardonnay,grape_Gewürztraminer,grape_Grenache,grape_Malbec,grape_Merlot,grape_Mourvedre,grape_Petit Verdot,grape_Petite Sirah,grape_Pinot Gris,grape_Pinot Noir,grape_Sauvignon Blanc,grape_Shiraz/Syrah,grape_Sémillon,grape_Zinfandel,years_old,num_grapes_used,is_blend,is_red
16,Rutherford Ranch Cabernet Sauvignon 2014,2014,Rutherford Ranch,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,4.1,2091,3.4170256,0.0,4.790539,1.4325823999999998,3.3563218,0.1706875753920386,0.010253317249698432,0.013872135102533172,0.10554885404101327,0.011459589867310013,0.03739445114595899,0.1399276236429433,0.2503015681544029,0.1284680337756333,0.10675512665862484,0.006031363088057901,0.0024125452352231607,0.016887816646562127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1
17,Carmel Road Monterey Pinot Noir 2014,2014,Carmel Road,Californian Pinot Noir,Pinot Noir,0,3.8,2090,3.4674462999999998,0.0,2.9396577,1.5080843000000002,2.0309234,0.06956521739130435,0.008695652173913044,0.010869565217391304,0.17318840579710146,0.0057971014492753615,0.04420289855072464,0.1036231884057971,0.20942028985507247,0.2594202898550725,0.08550724637681159,0.013768115942028985,0.002173913043478261,0.013768115942028985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,1
18,Groth Cabernet Sauvignon 2012,2012,Groth,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,4.2,2085,3.3935127,0.0,4.788954299999999,1.4858565000000001,3.332768,0.1883301707779886,0.005218216318785579,0.02134724857685009,0.15512333965844402,0.0066413662239089176,0.027514231499051238,0.13614800759013282,0.24003795066413666,0.10294117647058824,0.10246679316888044,0.007115749525616699,0.0009487666034155598,0.006166982922201139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1
19,Decoy Pinot Noir 2016,2016,Decoy,Californian Pinot Noir,Pinot Noir,0,3.8,2083,3.4501277999999997,0.0,2.910245,1.4847196000000003,2.0671055,0.07864077669902912,0.009223300970873786,0.010194174757281555,0.13932038834951455,0.00825242718446602,0.031553398058252434,0.13106796116504854,0.2029126213592233,0.270873786407767,0.10194174757281553,0.0033980582524271844,0.0014563106796116505,0.01116504854368932,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1
20,Seghesio Old Vine Zinfandel 2013,2013,Seghesio,Californian Zinfandel,Zinfandel,0,4.1,2081,1.7783836,0.0,4.827706299999999,2.5324032,2.5372793999999996,0.2007168458781362,0.005017921146953405,0.021505376344086027,0.11827956989247312,0.011469534050179213,0.031541218637992835,0.11254480286738353,0.185663082437276,0.16344086021505375,0.13691756272401434,0.003584229390681004,0.0007168458781362008,0.008602150537634409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,1
21,Fetzer Valley Oaks Cabernet Sauvignon 2010,2010,Fetzer,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,3.4,2080,3.0304773,0.0,4.6974707,1.7401872999999999,3.4124297999999995,0.19489559164733175,0.006960556844547564,0.010440835266821344,0.08352668213457076,0.0058004640371229705,0.033642691415313224,0.11252900232018563,0.2529002320185615,0.18561484918793505,0.10092807424593968,0.008120649651972156,0.0,0.004640371229698376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1
22,Joseph Carr Cabernet Sauvignon 2013,2013,Joseph Carr,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,3.8,2079,3.0181217,0.0,4.825945,1.5047075,3.3192644000000002,0.18,0.004324324324324324,0.017297297297297298,0.12054054054054054,0.005945945945945946,0.03135135135135135,0.13891891891891892,0.23621621621621625,0.14756756756756756,0.10108108108108108,0.005945945945945946,0.0005405405405405405,0.01027027027027027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1
23,770 Miles Zinfandel 2018,2018,770 Miles,Californian Zinfandel,Zinfandel,0,4.2,2078,1.857937,0.0,4.624797,2.6865099999999997,2.526441,0.14883720930232558,0.004651162790697674,0.06976744186046513,0.06511627906976744,0.004651162790697674,0.03255813953488372,0.1186046511627907,0.1744186046511628,0.2534883720930233,0.1186046511627907,0.002325581395348837,0.004651162790697674,0.002325581395348837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1
24,Chateau Montelena Cabernet Sauvignon (Calistoga Cuvée) 2014,2014,Chateau Montelena,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,4.2,2077,3.4025724000000004,0.0,4.7161093,1.4983507,3.3334767999999997,0.17971723762914624,0.006797172376291463,0.01277868406742795,0.12561174551386622,0.0059815116911364884,0.026373028820010875,0.14301250679717234,0.22294725394236,0.12887438825448613,0.1245241979336596,0.0054377379010331715,0.002175095160413268,0.015769439912996192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1
25,Stags' Leap Petite Sirah 2016,2016,Stags' Leap,Californian Petite Sirah,Petite Sirah,0,4.2,2073,3.4758701000000003,0.0,4.4691863,1.5892617,4.3303595,0.23015276734285,0.0030052592036063108,0.019534184823441023,0.13598797896318554,0.01828199348860506,0.02429251189581768,0.12121212121212123,0.22088655146506386,0.09541697971450036,0.11419984973703982,0.0052592036063110435,0.0015026296018031554,0.010267968945654895,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1
26,Oberon Cabernet Sauvignon 2013,2013,Oberon,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,4.0,2071,3.2731786,0.0,4.6780267,1.6513508999999997,3.1817553,0.1923192319231923,0.003900390039003901,0.015001500150015,0.09390939093909392,0.003900390039003901,0.032403240324032405,0.12121212121212123,0.2433243324332433,0.18061806180618065,0.09930993099309933,0.006000600060005999,0.0021002100210021,0.006000600060005999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1
27,Textbook Cabernet Sauvignon 2016,2016,Textbook,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,4.1,2067,3.3766282,0.0,4.740256,1.6107248,3.2661474,0.17537942664418213,0.005059021922428329,0.012928611579539069,0.11186059584035976,0.006183249016301293,0.022484541877459248,0.15401911186059586,0.2540753232152895,0.11860595840359753,0.12703766160764474,0.006183249016301293,0.0,0.006183249016301293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1
28,La Crema Sonoma Coast Chardonnay 2012,2012,La Crema,Californian Chardonnay,Chardonnay,0,3.8,2066,3.1585586,0.0,4.7617426,2.6866076,0.0,0.002066115702479339,0.07803560076287347,0.00047679593134138587,0.03591862682771774,0.0054036872218690395,0.2608073744437381,0.07310870947234584,0.3075333757151939,0.003973299427844882,0.06325492689129053,0.09694850603941513,0.03242212333121424,0.04005085823267642,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
29,Treana Cabernet Sauvignon 2016,2016,Treana,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,4.3,2059,2.8886467999999996,0.0,4.7833986,1.91665,3.1863843999999997,0.17831893165750196,0.002356637863315004,0.01767478397486253,0.10879811468970936,0.006677140612725846,0.0192458758837392,0.1767478397486253,0.2529457973291437,0.08680282796543598,0.1429693637077769,0.0007855459544383348,0.0007855459544383348,0.0058915946582875104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1
30,Duckhorn Napa Valley Merlot 2011,2011,Duckhorn,Californian Merlot,Merlot,0,4.1,2056,1.7351415000000001,0.0,3.9654722000000002,1.9515044999999998,2.117757,0.20131004366812227,0.0037117903930131,0.019868995633187773,0.11331877729257643,0.013537117903930132,0.026419213973799125,0.1314410480349345,0.21179039301310046,0.15589519650655026,0.10698689956331878,0.005240174672489083,0.0008733624454148473,0.009606986899563321,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,1
31,Ghost Pines Cabernet Sauvignon 2016,2016,Ghost Pines,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,3.8,2055,3.029161,0.0,4.847819,1.5655451,3.3858492,0.18036684782608692,0.002038043478260869,0.014266304347826088,0.10224184782608696,0.004076086956521739,0.025815217391304348,0.16134510869565216,0.22282608695652173,0.13994565217391305,0.13417119565217392,0.004076086956521739,0.0010190217391304348,0.0078125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1
32,McManis Petite Sirah 2017,2017,McManis,Californian Petite Sirah,Petite Sirah,0,4.0,2055,3.4290260999999997,0.0,4.462731,1.9528888,4.292511,0.17763578274760386,0.002875399361022364,0.01757188498402556,0.11022364217252396,0.008306709265175719,0.037060702875399365,0.15878594249201278,0.25335463258785945,0.08849840255591054,0.13738019169329074,0.0022364217252396168,0.0012779552715654952,0.004792332268370607,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1
33,Decoy Pinot Noir 2017,2017,Decoy,Californian Pinot Noir,Pinot Noir,0,3.8,2055,3.4501277999999997,0.0,2.910245,1.4847196000000003,2.0671055,0.07864077669902912,0.009223300970873786,0.010194174757281555,0.13932038834951455,0.00825242718446602,0.031553398058252434,0.13106796116504854,0.2029126213592233,0.270873786407767,0.10194174757281553,0.0033980582524271844,0.0014563106796116505,0.01116504854368932,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1
34,Ghost Pines Cabernet Sauvignon 2011,2011,Ghost Pines,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,3.8,2054,3.029161,0.0,4.847819,1.5655451,3.3858492,0.18036684782608692,0.002038043478260869,0.014266304347826088,0.10224184782608696,0.004076086956521739,0.025815217391304348,0.16134510869565216,0.22282608695652173,0.13994565217391305,0.13417119565217392,0.004076086956521739,0.0010190217391304348,0.0078125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1
35,Prophecy Red Blend 2014,2014,Prophecy,Californian Red Blend,Red Blend,0,3.6,2051,3.8138970000000003,0.0,4.7677903,1.6297780000000002,3.1436718,0.12481203007518794,0.001503759398496241,0.03759398496240601,0.07518796992481203,0.004511278195488722,0.02706766917293233,0.11578947368421053,0.19699248120300752,0.3112781954887218,0.09022556390977443,0.0075187969924812035,0.0,0.0075187969924812035,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6,4,1,1
36,Woodbridge by Robert Mondavi Pinot Noir 2014,2014,Woodbridge by Robert Mondavi,Californian Pinot Noir,Pinot Noir,0,3.5,2047,3.4282205,0.0,2.8803852,1.7399026999999998,2.1519647,0.09424083769633508,0.015706806282722512,0.026178010471204192,0.15968586387434555,0.010471204188481676,0.020942408376963352,0.09947643979057592,0.25654450261780104,0.2382198952879581,0.052356020942408384,0.013089005235602094,0.0,0.013089005235602094,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,1
37,Silver Oak Alexander Valley Cabernet Sauvignon 2008,2008,Silver Oak,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,4.4,2047,3.0015786,0.0,4.769280999999999,1.4508469,3.3120769999999995,0.15656742556917688,0.002101576182136602,0.00893169877408056,0.13012259194395798,0.008231173380035027,0.02591943957968476,0.14010507880910686,0.30630472854640983,0.09457092819614712,0.1138353765323993,0.0015761821366024518,0.0005253940455341507,0.011208406304728549,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1
38,Rancho Zabaco Zinfandel Sonoma Heritage Vines 2014,2014,Rancho Zabaco,Californian Zinfandel,Zinfandel,0,3.8,2044,1.7707868000000002,0.0,4.858986,2.6301007000000003,2.5267124,0.2214170692431562,0.0024154589371980675,0.03542673107890499,0.09178743961352658,0.008856682769726247,0.033011272141706925,0.1247987117552335,0.17552334943639292,0.14412238325281804,0.15136876006441224,0.0024154589371980675,0.0008051529790660224,0.008051529790660225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1
39,Sequoia Grove Cabernet Sauvignon  2013,2013,Sequoia Grove,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,4.2,2042,3.362732,0.0,4.80475,1.5589544,3.3009622000000003,0.1757469244288225,0.001054481546572935,0.00984182776801406,0.13884007029876974,0.0073813708260105455,0.03022847100175747,0.14657293497363796,0.24815465729349734,0.11388400702987694,0.11388400702987694,0.002460456942003515,0.00070298769771529,0.01124780316344464,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1
40,Wines from Hahn Estate Pinot Noir 2016,2016,Wines from Hahn Estate,Californian Pinot Noir,Pinot Noir,0,3.7,2038,3.4251324999999997,0.0,3.0793310000000003,1.5941105,2.1042376,0.13799203892083148,0.005307386112339673,0.01238390092879257,0.1096859796550199,0.010614772224679346,0.03494029190623618,0.12074303405572755,0.18000884564352054,0.2649270234409553,0.1017249004865104,0.0070765148164528965,0.0017691287041132246,0.012826183104820877,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1
