,wine_name,vintage,winery_name,wine_style,wine_type,natural_wine,ratings_average,ratings_count,taste_acidity,taste_fizziness,taste_intensity,taste_sweetness,taste_tannin,flavor_score_black_fruit,flavor_score_citrus_fruit,flavor_score_dried_fruit,flavor_score_earth,flavor_score_floral,flavor_score_microbio,flavor_score_non_oak,flavor_score_oak,flavor_score_red_fruit,flavor_score_spices,flavor_score_tree_fruit,flavor_score_tropical_fruit,flavor_score_vegetal,grape_Cabernet Franc,grape_Cabernet Sauvignon,grape_Carménère,grape_Chardonnay,grape_Gewürztraminer,grape_Grenache,grape_Malbec,grape_Merlot,grape_Mourvedre,grape_Petit Verdot,grape_Petite Sirah,grape_Pinot Gris,grape_Pinot Noir,grape_Sauvignon Blanc,grape_Shiraz/Syrah,grape_Sémillon,grape_Zinfandel,years_old,num_grapes_used,is_blend,is_red
20,Seghesio Old Vine Zinfandel 2013,2013,Seghesio,Californian Zinfandel,Zinfandel,0,0.6666666666666664,0.05212137607646873,0.4355633399042349,0.0,0.9763896125402588,0.7338145331604989,0.5848645246093663,0.2007168458781362,0.005017921146953405,0.021505376344086027,0.11827956989247312,0.011469534050179213,0.031541218637992835,0.11254480286738353,0.185663082437276,0.16344086021505375,0.13691756272401434,0.003584229390681004,0.0007168458781362008,0.008602150537634409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15384615384615385,0.0,0,1
21,Fetzer Valley Oaks Cabernet Sauvignon 2010,2010,Fetzer,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,0.27777777777777773,0.05207628838090085,0.74222727553941,0.0,0.9500498397535532,0.504254113705641,0.7865941499149975,0.19489559164733175,0.006960556844547564,0.010440835266821344,0.08352668213457076,0.0058004640371229705,0.033642691415313224,0.11252900232018563,0.2529002320185615,0.18561484918793505,0.10092807424593968,0.008120649651972156,0.0,0.004640371229698376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23076923076923078,0.0,0,1
22,Joseph Carr Cabernet Sauvignon 2013,2013,Joseph Carr,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,0.4999999999999999,0.05203120068533297,0.7392011306725093,0.0,0.9760333947180259,0.43601912667603704,0.7651187312515894,0.18,0.004324324324324324,0.017297297297297298,0.12054054054054054,0.005945945945945946,0.03135135135135135,0.13891891891891892,0.23621621621621625,0.14756756756756756,0.10108108108108108,0.005945945945945946,0.0005405405405405405,0.01027027027027027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0.0,0,1
23,770 Miles Zinfandel 2018,2018,770 Miles,Californian Zinfandel,Zinfandel,0,0.7222222222222222,0.05198611298976509,0.4550476314849364,0.0,0.935351794475847,0.778470064119731,0.5823661810436062,0.14883720930232558,0.004651162790697674,0.06976744186046513,0.06511627906976744,0.004651162790697674,0.03255813953488372,0.1186046511627907,0.1744186046511628,0.2534883720930233,0.1186046511627907,0.002325581395348837,0.004651162790697674,0.002325581395348837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02564102564102564,0.0,0,1
24,Chateau Montelena Cabernet Sauvignon (Calistoga Cuvée) 2014,2014,Chateau Montelena,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,0.7222222222222222,0.05194102529419722,0.8333611481853345,0.0,0.9538194426045579,0.4341771165947061,0.7683948105708626,0.17971723762914624,0.006797172376291463,0.01277868406742795,0.12561174551386622,0.0059815116911364884,0.026373028820010875,0.14301250679717234,0.22294725394236,0.12887438825448613,0.1245241979336596,0.0054377379010331715,0.002175095160413268,0.015769439912996192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1282051282051282,0.0,0,1
25,Stags' Leap Petite Sirah 2016,2016,Stags' Leap,Californian Petite Sirah,Petite Sirah,0,0.7222222222222222,0.051760674511925696,0.8513132879932469,0.0,0.9038799812298509,0.4605203991431384,0.998184768439437,0.23015276734285,0.0030052592036063108,0.019534184823441023,0.13598797896318554,0.01828199348860506,0.02429251189581768,0.12121212121212123,0.22088655146506386,0.09541697971450036,0.11419984973703982,0.0052592036063110435,0.0015026296018031554,0.010267968945654895,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07692307692307693,0.0,0,1
26,Oberon Cabernet Sauvignon 2013,2013,Oberon,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,0.611111111111111,0.051670499120789935,0.801669900194237,0.0,0.9461173470859208,0.4785119880466387,0.7334217118374239,0.1923192319231923,0.003900390039003901,0.015001500150015,0.09390939093909392,0.003900390039003901,0.032403240324032405,0.12121212121212123,0.2433243324332433,0.18061806180618065,0.09930993099309933,0.006000600060005999,0.0021002100210021,0.006000600060005999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0.0,0,1
27,Textbook Cabernet Sauvignon 2016,2016,Textbook,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,0.6666666666666664,0.05149014833851842,0.8270068709623868,0.0,0.9587030427227186,0.46673976212083373,0.7528748100840286,0.17537942664418213,0.005059021922428329,0.012928611579539069,0.11186059584035976,0.006183249016301293,0.022484541877459248,0.15401911186059586,0.2540753232152895,0.11860595840359753,0.12703766160764474,0.006183249016301293,0.0,0.006183249016301293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.0,0,1
28,La Crema Sonoma Coast Chardonnay 2012,2012,La Crema,Californian Chardonnay,Chardonnay,0,0.4999999999999999,0.05144506064295054,0.7735970648285581,0.0,0.9630486453226131,0.7784983456739624,0.0,0.002066115702479339,0.07803560076287347,0.00047679593134138587,0.03591862682771774,0.0054036872218690395,0.2608073744437381,0.07310870947234584,0.3075333757151939,0.003973299427844882,0.06325492689129053,0.09694850603941513,0.03242212333121424,0.04005085823267642,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1794871794871795,0.0,0,0
29,Treana Cabernet Sauvignon 2016,2016,Treana,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,0.7777777777777776,0.05112944677397538,0.7074900195951427,0.0,0.967428508581729,0.5553877143189798,0.7344887588370052,0.17831893165750196,0.002356637863315004,0.01767478397486253,0.10879811468970936,0.006677140612725846,0.0192458758837392,0.1767478397486253,0.2529457973291437,0.08680282796543598,0.1429693637077769,0.0007855459544383348,0.0007855459544383348,0.0058915946582875104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.0,0,1
