grape_Sauvignon Blanc,grape_Pinot Gris,wine_type,flavor_score_red_fruit,flavor_score_spices,grape_Pinot Noir,flavor_score_citrus_fruit,grape_Petite Sirah,grape_Mourvedre,taste_acidity,flavor_score_black_fruit,grape_Petit Verdot,flavor_score_tropical_fruit,grape_Cabernet Sauvignon,grape_Merlot,grape_Gewürztraminer,grape_Carménère,flavor_score_earth,flavor_score_vegetal,taste_tannin,flavor_score_non_oak,taste_intensity,taste_sweetness,natural_wine,ratings_average,wine_name,grape_Chardonnay,flavor_score_microbio,grape_Shiraz/Syrah,flavor_score_oak,grape_Grenache,grape_Malbec,grape_Sémillon,flavor_score_dried_fruit,vintage,flavor_score_tree_fruit,flavor_score_floral,wine_style,ratings_count,grape_Cabernet Franc,winery_name,taste_fizziness,grape_Zinfandel
,,Cabernet Sauvignon (Calistoga Cuvée),0.12887438825448613,0.1245241979336596,,0.006797172376291463,,,3.4025724,0.17971723762914626,,0.002175095160413268,1,,,,0.12561174551386622,0.015769439912996192,3.3334768,0.14301250679717237,4.7161093,1.4983507,False,4.2,Chateau Montelena Cabernet Sauvignon (Calistoga Cuvée) 2014,,0.026373028820010875,,0.22294725394235998,,,,0.01277868406742795,2014,0.005437737901033171,0.005981511691136488,Napa Valley Cabernet Sauvignon,2077,,Chateau Montelena,,
,,Petite Sirah,0.09541697971450037,0.11419984973703982,,0.003005259203606311,1,,3.4758701,0.23015276734284998,,0.0015026296018031556,,,,,0.13598797896318557,0.010267968945654895,4.3303595,0.12121212121212122,4.4691863,1.5892617,False,4.2,Stags' Leap Petite Sirah 2016,,0.02429251189581768,,0.22088655146506386,,,,0.019534184823441023,2016,0.005259203606311044,0.01828199348860506,Californian Petite Sirah,2073,,Stags' Leap,,
,,Cabernet Sauvignon,0.18061806180618062,0.09930993099309932,,0.0039003900390039005,,,3.2731786,0.1923192319231923,,0.0021002100210021,1,,,,0.09390939093909391,0.006000600060006,3.1817553,0.12121212121212122,4.6780267,1.6513509,False,4,Oberon Cabernet Sauvignon 2013,,0.032403240324032405,,0.24332433243324333,,,,0.015001500150015001,2013,0.006000600060006,0.0039003900390039005,Napa Valley Cabernet Sauvignon,2071,,Oberon,,
,,Cabernet Sauvignon,0.11860595840359753,0.12703766160764474,,0.00505902192242833,,,3.3766282,0.17537942664418213,,,1,,,,0.11186059584035975,0.006183249016301293,3.2661474,0.15401911186059583,4.740256,1.6107248,False,4.1,Textbook Cabernet Sauvignon 2016,,0.022484541877459248,,0.2540753232152895,,,,0.012928611579539067,2016,0.006183249016301293,0.006183249016301293,Napa Valley Cabernet Sauvignon,2067,,Textbook,,
,,Sonoma Coast Chardonnay,0.003973299427844882,0.06325492689129053,,0.07803560076287348,,,3.1585586,0.002066115702479339,,0.03242212333121424,,,,,0.03591862682771774,0.040050858232676415,,0.07310870947234584,4.7617426,2.6866076,False,3.8,La Crema Sonoma Coast Chardonnay 2012,1,0.2608073744437381,,0.3075333757151939,,,,0.00047679593134138587,2012,0.09694850603941513,0.00540368722186904,Californian Chardonnay,2066,,La Crema,,
,,Cabernet Sauvignon,0.08680282796543598,0.1429693637077769,,0.002356637863315004,,,2.8886468,0.17831893165750196,,0.0007855459544383347,1,,,,0.10879811468970935,0.00589159465828751,3.1863844,0.1767478397486253,4.7833986,1.91665,False,4.3,Treana Cabernet Sauvignon 2016,,0.0192458758837392,,0.25294579732914374,,,,0.01767478397486253,2016,0.0007855459544383347,0.006677140612725845,Californian Cabernet Sauvignon,2059,,Treana,,
,,Napa Valley Merlot,0.15589519650655023,0.10698689956331878,,0.0037117903930131003,,,1.7351415,0.20131004366812227,,0.0008733624454148472,,1,,,0.11331877729257642,0.00960698689956332,2.117757,0.1314410480349345,3.9654722,1.9515045,False,4.1,Duckhorn Napa Valley Merlot 2011,,0.026419213973799125,,0.21179039301310043,,,,0.019868995633187773,2011,0.005240174672489083,0.013537117903930132,Californian Merlot,2056,,Duckhorn,,
,,Cabernet Sauvignon,0.13994565217391305,0.13417119565217392,,0.0020380434782608695,,,3.029161,0.18036684782608695,,0.0010190217391304348,1,,,,0.10224184782608696,0.0078125,3.3858492,0.16134510869565216,4.847819,1.5655451,False,3.8,Ghost Pines Cabernet Sauvignon 2016,,0.025815217391304348,,0.22282608695652173,,,,0.014266304347826086,2016,0.004076086956521739,0.004076086956521739,Californian Cabernet Sauvignon,2055,,Ghost Pines,,
,,Petite Sirah,0.08849840255591054,0.13738019169329074,,0.002875399361022364,1,,3.4290261,0.17763578274760383,,0.0012779552715654952,,,,,0.11022364217252396,0.004792332268370607,4.292511,0.15878594249201278,4.462731,1.9528888,False,4,McManis Petite Sirah 2017,,0.03706070287539936,,0.25335463258785945,,,,0.01757188498402556,2017,0.0022364217252396168,0.008306709265175719,Californian Petite Sirah,2055,,McManis,,
,,Pinot Noir,0.270873786407767,0.10194174757281553,1,0.009223300970873786,,,3.4501278,0.07864077669902912,,0.0014563106796116505,,,,,0.13932038834951457,0.01116504854368932,2.0671055,0.13106796116504854,2.910245,1.4847196,False,3.8,Decoy Pinot Noir 2017,,0.03155339805825243,,0.2029126213592233,,,,0.010194174757281554,2017,0.0033980582524271844,0.00825242718446602,Californian Pinot Noir,2055,,Decoy,,
