grape_Malbec,grape_Zinfandel,grape_Chardonnay,taste_acidity,ratings_average,wine_name,flavor_score_red_fruit,grape_Shiraz/Syrah,grape_Pinot Noir,flavor_score_spices,flavor_score_tropical_fruit,grape_Petite Sirah,taste_tannin,grape_Sémillon,winery_name,flavor_score_citrus_fruit,flavor_score_tree_fruit,flavor_score_dried_fruit,wine_type,grape_Merlot,ratings_count,taste_intensity,taste_sweetness,flavor_score_microbio,flavor_score_vegetal,flavor_score_floral,flavor_score_non_oak,grape_Carménère,flavor_score_black_fruit,wine_style,grape_Petit Verdot,grape_Cabernet Franc,flavor_score_earth,grape_Cabernet Sauvignon,natural_wine,flavor_score_oak,vintage,taste_fizziness
,1,,1.857937,4.2,770 Miles Zinfandel 2018,0.2534883720930233,,,0.1186046511627907,0.004651162790697674,,2.526441,,770 Miles,0.004651162790697674,0.002325581395348837,0.06976744186046512,Zinfandel,,2078,4.624797,2.68651,0.03255813953488372,0.002325581395348837,0.004651162790697674,0.1186046511627907,,0.14883720930232558,Californian Zinfandel,,,0.06511627906976744,,False,0.1744186046511628,2018,
,,,3.4025724,4.2,Chateau Montelena Cabernet Sauvignon (Calistoga Cuvée) 2014,0.12887438825448613,,,0.1245241979336596,0.002175095160413268,,3.3334768,,Chateau Montelena,0.006797172376291463,0.005437737901033171,0.01277868406742795,Cabernet Sauvignon (Calistoga Cuvée),,2077,4.7161093,1.4983507,0.026373028820010875,0.015769439912996192,0.005981511691136488,0.14301250679717237,,0.17971723762914626,Napa Valley Cabernet Sauvignon,,,0.12561174551386622,1,False,0.22294725394235998,2014,
,,,3.4758701,4.2,Stags' Leap Petite Sirah 2016,0.09541697971450037,,,0.11419984973703982,0.0015026296018031556,1,4.3303595,,Stags' Leap,0.003005259203606311,0.005259203606311044,0.019534184823441023,Petite Sirah,,2073,4.4691863,1.5892617,0.02429251189581768,0.010267968945654895,0.01828199348860506,0.12121212121212122,,0.23015276734284998,Californian Petite Sirah,,,0.13598797896318557,,False,0.22088655146506386,2016,
,,,3.2731786,4,Oberon Cabernet Sauvignon 2013,0.18061806180618062,,,0.09930993099309932,0.0021002100210021,,3.1817553,,Oberon,0.0039003900390039005,0.006000600060006,0.015001500150015001,Cabernet Sauvignon,,2071,4.6780267,1.6513509,0.032403240324032405,0.006000600060006,0.0039003900390039005,0.12121212121212122,,0.1923192319231923,Napa Valley Cabernet Sauvignon,,,0.09390939093909391,1,False,0.24332433243324333,2013,
,,,3.3766282,4.1,Textbook Cabernet Sauvignon 2016,0.11860595840359753,,,0.12703766160764474,,,3.2661474,,Textbook,0.00505902192242833,0.006183249016301293,0.012928611579539067,Cabernet Sauvignon,,2067,4.740256,1.6107248,0.022484541877459248,0.006183249016301293,0.006183249016301293,0.15401911186059583,,0.17537942664418213,Napa Valley Cabernet Sauvignon,,,0.11186059584035975,1,False,0.2540753232152895,2016,
,,1,3.1585586,3.8,La Crema Sonoma Coast Chardonnay 2012,0.003973299427844882,,,0.06325492689129053,0.03242212333121424,,,,La Crema,0.07803560076287348,0.09694850603941513,0.00047679593134138587,Sonoma Coast Chardonnay,,2066,4.7617426,2.6866076,0.2608073744437381,0.040050858232676415,0.00540368722186904,0.07310870947234584,,0.002066115702479339,Californian Chardonnay,,,0.03591862682771774,,False,0.3075333757151939,2012,
,,,2.8886468,4.3,Treana Cabernet Sauvignon 2016,0.08680282796543598,,,0.1429693637077769,0.0007855459544383347,,3.1863844,,Treana,0.002356637863315004,0.0007855459544383347,0.01767478397486253,Cabernet Sauvignon,,2059,4.7833986,1.91665,0.0192458758837392,0.00589159465828751,0.006677140612725845,0.1767478397486253,,0.17831893165750196,Californian Cabernet Sauvignon,,,0.10879811468970935,1,False,0.25294579732914374,2016,
,,,1.7351415,4.1,Duckhorn Napa Valley Merlot 2011,0.15589519650655023,,,0.10698689956331878,0.0008733624454148472,,2.117757,,Duckhorn,0.0037117903930131003,0.005240174672489083,0.019868995633187773,Napa Valley Merlot,1,2056,3.9654722,1.9515045,0.026419213973799125,0.00960698689956332,0.013537117903930132,0.1314410480349345,,0.20131004366812227,Californian Merlot,,,0.11331877729257642,,False,0.21179039301310043,2011,
,,,3.029161,3.8,Ghost Pines Cabernet Sauvignon 2016,0.13994565217391305,,,0.13417119565217392,0.0010190217391304348,,3.3858492,,Ghost Pines,0.0020380434782608695,0.004076086956521739,0.014266304347826086,Cabernet Sauvignon,,2055,4.847819,1.5655451,0.025815217391304348,0.0078125,0.004076086956521739,0.16134510869565216,,0.18036684782608695,Californian Cabernet Sauvignon,,,0.10224184782608696,1,False,0.22282608695652173,2016,
,,,3.4290261,4,McManis Petite Sirah 2017,0.08849840255591054,,,0.13738019169329074,0.0012779552715654952,1,4.292511,,McManis,0.002875399361022364,0.0022364217252396168,0.01757188498402556,Petite Sirah,,2055,4.462731,1.9528888,0.03706070287539936,0.004792332268370607,0.008306709265175719,0.15878594249201278,,0.17763578274760383,Californian Petite Sirah,,,0.11022364217252396,,False,0.25335463258785945,2017,
